state,hasc,adm0_a3,_id,type,fips,capital,iso_a2,name,lng,lat
WY,US.WY.SH,USA,USA-WY-56033,County,56033,Sheridan,US,"Sheridan, Wyoming",-106.90324387431289,44.780564
AS,,USA,USA-AS-60050,County,60050,,US,"Western, American Samoa",-170.75091549867943,-14.335585
PR,,USA,USA-PR-72031,County,72031,,US,"Carolina, Puerto Rico",-65.95206583415586,18.362208
VI,,USA,USA-VI-78030,County,78030,,US,"St. Thomas, U.S. Virgin Islands",-64.92238096352065,18.3444015
AL,US.AL.JE,USA,USA-AL-01073,County,01073,Birmingham,US,"Jefferson, Alabama",-86.8604918195177,33.542112
AL,US.AL.WS,USA,USA-AL-01129,County,01129,Chatom,US,"Washington, Alabama",-88.18397694305861,31.4154815
AK,US.AK.KN,USA,USA-AK-02122,County,02122,Soldotna,US,"Kenai Peninsula, Alaska",-150.52274271991652,60.100541
AK,US.AK.YU,USA,USA-AK-02290,County,02290,Galena,US,"Yukon-Koyukuk, Alaska",-153.5464640432335,65.22735850000001
AZ,US.AZ.YA,USA,USA-AZ-04025,County,04025,Prescott,US,"Yavapai, Arizona",-112.44353688320697,34.6371265
CA,US.CA.PU,USA,USA-CA-06063,County,06063,Quincy,US,"Plumas, California",-120.80545257828987,40.0231445
CA,US.CA.SH,USA,USA-CA-06089,County,06089,Redding,US,"Shasta, California",-122.01810657155514,40.732523
CO,US.CO.AA,USA,USA-CO-08005,County,08005,Littleton,US,"Arapahoe, Colorado",-104.2813479533747,39.653020999999995
KS,US.KS.NO,USA,USA-KS-20133,County,20133,Erie,US,"Neosho, Kansas",-95.30681752270442,37.52925449999999
KS,US.KS.RL,USA,USA-KS-20161,County,20161,Manhattan,US,"Riley, Kansas",-96.80261726725826,39.307472000000004
KY,US.KY.CD,USA,USA-KY-21033,County,21033,Princeton,US,"Caldwell, Kentucky",-87.86991936534496,37.1678605
KY,US.KY.HS,USA,USA-KY-21097,County,21097,Cynthiana,US,"Harrison, Kentucky",-84.32414410842014,38.421786
KY,US.KY.LT,USA,USA-KY-21133,County,21133,Whitesburg,US,"Letcher, Kentucky",-82.88864481624385,37.110333499999996
KY,US.KY.OE,USA,USA-KY-21187,County,21187,Owenton,US,"Owen, Kentucky",-84.84620672883938,38.5293595
LA,US.LA.II,USA,USA-LA-22045,County,22045,New Iberia,US,"Iberia, Louisiana",-91.82446265068353,29.89567
LA,US.LA.OU,USA,USA-LA-22073,County,22073,Monroe,US,"Ouachita, Louisiana",-92.17342312829516,32.489799500000004
MD,US.MD.CO,USA,USA-MD-24011,County,24011,Denton,US,"Caroline, Maryland",-75.83590962849527,38.8884025
TX,US.TX.TR,USA,USA-TX-48455,County,48455,Groveton,US,"Trinity, Texas",-95.12716404939103,31.102338000000003
UT,US.UT.RH,USA,USA-UT-49033,County,49033,Randolph,US,"Rich, Utah",-111.23808281979566,41.5667369741129
VA,US.VA.BF,USA,USA-VA-51019,County,51019,Bedford,US,"Bedford, Virginia",-79.54581646270496,37.329280999999995
VA,US.VA.FN,USA,USA-VA-51067,County,51067,Rocky Mount,US,"Franklin, Virginia",-79.8638367757766,37.00665
VA,US.VA.LE,USA,USA-VA-51105,County,51105,Jonesville,US,"Lee, Virginia",-82.98154018037809,36.7453025
VA,US.VA.PS,USA,USA-VA-51143,County,51143,Chatham,US,"Pittsylvania, Virginia",-79.41676028824935,36.750338
WA,US.WA.WL,USA,USA-WA-53071,County,53071,Walla Walla,US,"Walla Walla, Washington",-118.5064543976991,46.306752
WV,US.WV.HR,USA,USA-WV-54033,County,54033,Clarksburg,US,"Harrison, West Virginia",-80.39665749714143,39.284099
WI,US.WI.FL,USA,USA-WI-55037,County,55037,Florence,US,"Florence, Wisconsin",-88.38895476100912,45.845012
