area,city,confirmed,died,cured,confirmedRelative,name,lat,lng
广东,揭阳,10,0,10,0,揭阳市,2697913.197742748,12952660.946635075
广东,梅州,16,0,16,0,梅州市,2789898.798408868,12926150.098586854
广东,深圳,423,3,419,0,深圳市,2577327.1031580525,12699989.524940543
广东,汕头,25,0,25,0,汕头市,2676949.3229893628,12991926.67061712
广东,江门,23,0,23,0,江门市,2582562.767777885,12589671.352982312
广东,韶关,10,1,9,0,韶关市,2851361.167651846,12644952.83474154
广东,东莞,99,1,98,0,东莞市,2637611.178738807,12662175.963715697
广东,广州,377,1,373,0,广州市,2647163.8346178103,12610342.825822292
广东,潮州,5,0,5,0,潮州市,2712238.753905172,12983448.355560502
浙江,台州,146,0,146,0,台州市,3332617.2340504057,13517369.806538977
浙江,嘉兴,46,0,46,0,嘉兴市,3601963.3268201584,13441924.802776191
浙江,湖州,10,0,10,0,湖州市,3615514.2584496136,13369737.786549995
浙江,舟山,10,0,10,0,舟山市,3505610.2593895327,13592873.809631875
浙江,绍兴,42,0,42,0,绍兴市,3503179.265630607,13423139.304748967
浙江,宁波,157,0,157,0,宁波市,3486643.540888379,13530860.949584808
浙江,杭州,181,0,181,0,杭州市,3540553.791771512,13375434.895449022
浙江,金华,55,0,55,0,金华市,3387045.3754963404,13319322.079732668
浙江,丽水,17,0,17,0,丽水市,3306080.209671113,13349632.15068164
浙江,温州,504,1,503,0,温州市,3249046.283736886,13433157.947599478
浙江,衢州,14,0,14,0,衢州市,3368228.858991783,13232840.63901519
湖北,仙桃,575,22,553,0,仙桃市,3550547.9374267077,12629638.612395238
湖北,天门,496,15,481,0,天门市,3587774.0029887655,12597566.131268274
湖北,随州,1307,45,1262,0,随州市,3726284.5771532827,12620710.343956897
湖北,咸宁,836,15,821,0,咸宁市,3482075.6396566886,12727041.942311399
湖北,十堰,672,8,664,0,十堰市,3848530.0107887764,12332854.39345122
湖北,恩施,252,7,245,0,恩施土家族苗族自治州,3539993.6653821347,12188035.973591648
湖北,襄阳,1175,40,1135,0,襄阳市,3768880.987704421,12483829.226428766
湖北,荆州,1580,52,1528,0,荆州市,3545633.8337919363,12494291.477450024
湖北,宜昌,931,37,894,0,宜昌市,3594190.6841916563,12388839.970989615
湖北,潜江,198,9,189,0,潜江市,3557808.824269488,12567621.633527014
湖北,武汉,50333,3869,46464,0,武汉市,3578886.5604512766,12723658.831667168
湖北,黄冈,2907,125,2782,0,黄冈市,3561229.712710246,12788312.412674466
湖北,孝感,3518,129,3389,0,孝感市,3623197.450791426,12682257.22061557
湖北,黄石,1015,39,976,0,黄石市,3531869.7863424593,12810318.383569892
湖北,荆门,928,41,887,0,荆门市,3637349.9589544986,12490520.084421962
湖北,鄂州,1394,59,1335,0,鄂州市,3554623.3634683574,12789562.307916919
广东,云浮,0,0,0,0,云浮市,2623531.4602960176,12472729.893961782
