name,area,popall,popcity,companies,worker,industry_comp,big_comp,xzjd,coords,lng,lat
廉江市横山镇,18561,113721.0,7419.0,239.0,2673.0,90.0,17.0,廉江市横山镇,POINT (110.1093630044557 21.4932589411411),110.10936300445574,21.493258941141104
廉江市安铺镇,8550,108556.0,53856.0,206.0,10113.0,128.0,21.0,廉江市安铺镇,POINT (110.0034696409606 21.46284951633035),110.00346964096065,21.462849516330348
廉江市营仔镇,20400,74710.0,7849.0,141.0,1839.0,53.0,11.0,廉江市营仔镇,POINT (109.9308497781807 21.50059420888848),109.93084977818071,21.500594208888483
廉江市青平镇,27664,101447.0,18484.0,213.0,2568.0,37.0,8.0,廉江市青平镇,POINT (109.9369562944589 21.63300447163789),109.93695629445892,21.633004471637886
廉江市车板镇,11100,41054.0,3669.0,141.0,707.0,128.0,3.0,廉江市车板镇,POINT (109.8312627415659 21.52420735347622),109.83126274156587,21.52420735347622
廉江市高桥镇,12118,48266.0,1037.0,31.0,1206.0,11.0,6.0,廉江市高桥镇,POINT (109.796268014577 21.60007426256825),109.79626801457704,21.600074262568253
廉江市石岭镇,22500,102199.0,28038.0,269.0,21186.0,90.0,54.0,廉江市石岭镇,POINT (110.128701242574 21.64955148315074),110.12870124257395,21.64955148315074
廉江市雅塘镇,7600,40592.0,2487.0,47.0,1612.0,39.0,2.0,廉江市雅塘镇,POINT (110.0514212978509 21.6055164821356),110.0514212978509,21.605516482135602
廉江市石颈镇,9041,43014.0,2159.0,38.0,1473.0,12.0,1.0,廉江市石颈镇,POINT (110.0257672121983 21.70442784735514),110.0257672121983,21.704427847355138
廉江市长山镇,13800,52805.0,7512.0,245.0,2314.0,51.0,2.0,廉江市长山镇,POINT (109.9969385108846 21.80558458520456),109.99693851088463,21.805584585204556
廉江市塘蓬镇,16200,72125.0,10890.0,126.0,3594.0,43.0,4.0,廉江市塘蓬镇,POINT (110.115571864231 21.80172701425132),110.11557186423104,21.80172701425132
廉江市和寮镇,10655,34543.0,3126.0,124.0,705.0,119.0,,廉江市和寮镇,POINT (110.1794615290826 21.84974121974938),110.17946152908259,21.849741219749383
雷州市白沙镇,11053,88588.0,5223.0,1124.0,12314.0,76.0,6.0,雷州市白沙镇,POINT (110.0139187916816 20.93018975196572),110.01391879168156,20.930189751965724
雷州市沈塘镇,6660,58163.0,4628.0,25.0,151.0,7.0,,雷州市沈塘镇,POINT (110.1084764272708 20.99892298987874),110.1084764272708,20.99892298987874
雷州市客路镇,33433,115123.0,25511.0,161.0,810.0,51.0,2.0,雷州市客路镇,POINT (109.9686119680909 21.08758561907309),109.9686119680909,21.08758561907309
雷州市杨家镇,16395,86674.0,14326.0,33.0,226.0,8.0,3.0,雷州市杨家镇,POINT (109.9296651542812 20.89963879671205),109.92966515428117,20.899638796712054
雷州市唐家镇,19200,50787.0,13895.0,50.0,3716.0,41.0,4.0,雷州市唐家镇,POINT (109.8462872128134 20.82817421228535),109.84628721281341,20.828174212285354
雷州市企水镇,10601,50726.0,20384.0,46.0,421.0,12.0,1.0,雷州市企水镇,POINT (109.7629390763861 20.75562891255214),109.7629390763861,20.755628912552137
雷州市纪家镇,33913,110480.0,7366.0,50.0,600.0,40.0,2.0,雷州市纪家镇,POINT (109.7572759226677 20.94634143586553),109.75727592266773,20.946341435865534
雷州市松竹镇,6793,71241.0,1923.0,32.0,365.0,23.0,3.0,雷州市松竹镇,POINT (110.0436976734074 20.83597552140479),110.04369767340735,20.83597552140479
雷州市南兴镇,13500,84190.0,11312.0,168.0,10251.0,39.0,2.0,雷州市南兴镇,POINT (110.1014289509713 20.7938959869399),110.10142895097128,20.793895986939898
雷州市雷高镇,16503,44103.0,6073.0,19.0,1843.0,11.0,1.0,雷州市雷高镇,POINT (110.2062299013136 20.79227355173279),110.20622990131356,20.792273551732794
雷州市东里镇,13600,62008.0,9006.0,4.0,312.0,1.0,1.0,雷州市东里镇,POINT (110.3490896032278 20.78432533792957),110.3490896032278,20.784325337929566
雷州市调风镇,22148,68551.0,10850.0,31.0,1345.0,20.0,2.0,雷州市调风镇,POINT (110.2629449580658 20.68533949532471),110.26294495806583,20.68533949532471
雷州市龙门镇,25333,91792.0,39120.0,231.0,2491.0,64.0,5.0,雷州市龙门镇,POINT (110.0077505065176 20.68136759672158),110.00775050651761,20.681367596721575
雷州市英利镇,26500,86995.0,31549.0,136.0,5698.0,53.0,8.0,雷州市英利镇,POINT (110.054336002966 20.52782049800162),110.05433600296604,20.52782049800162
雷州市北和镇,18376,86004.0,10561.0,135.0,1425.0,6.0,1.0,雷州市北和镇,POINT (109.8395366000015 20.67079625327888),109.83953660000152,20.670796253278876
雷州市乌石镇,12690,89208.0,25813.0,42.0,1368.0,27.0,3.0,雷州市乌石镇,POINT (109.8597621737793 20.56727116344516),109.85976217377934,20.567271163445163
雷州市覃斗镇,10400,53542.0,3752.0,30.0,2540.0,4.0,2.0,雷州市覃斗镇,POINT (109.9215533210944 20.50623997065848),109.92155332109445,20.50623997065848
雷州市附城镇,12900,109361.0,3600.0,50.0,751.0,26.0,6.0,雷州市附城镇,POINT (110.1268784444605 20.91988572951623),110.12687844446047,20.919885729516235
吴川市浅水镇,7809,42247.0,7850.0,54.0,1009.0,53.0,3.0,吴川市浅水镇,POINT (110.7693657284906 21.5869069491447),110.76936572849056,21.5869069491447
吴川市长岐镇,6050,78950.0,3593.0,83.0,1392.0,28.0,5.0,吴川市长岐镇,POINT (110.754971905645 21.50515595131901),110.75497190564504,21.50515595131901
吴川市覃巴镇,7706,66913.0,4500.0,210.0,3650.0,121.0,7.0,吴川市覃巴镇,POINT (110.8566764319043 21.42739060106059),110.85667643190433,21.42739060106059
吴川市王村港镇,2620,27145.0,5019.0,8.0,290.0,6.0,4.0,吴川市王村港镇,POINT (110.9287737231911 21.41678784486248),110.92877372319109,21.416787844862476
吴川市振文镇,5820,107136.0,2132.0,98.0,1440.0,22.0,6.0,吴川市振文镇,POINT (110.6984946549154 21.42643579588877),110.69849465491535,21.426435795888768
吴川市樟铺镇,5238,60424.0,2295.0,89.0,919.0,23.0,2.0,吴川市樟铺镇,POINT (110.6991175090812 21.4805014961481),110.69911750908116,21.480501496148097
吴川市吴阳镇,8160,86583.0,12187.0,27.0,142.0,15.0,1.0,吴川市吴阳镇,POINT (110.66867867549 21.32466786466249),110.66867867548997,21.32466786466249
吴川市塘缀镇,11843,121008.0,13637.0,96.0,986.0,19.0,13.0,吴川市塘缀镇,POINT (110.5736793992828 21.45755905987195),110.57367939928284,21.457559059871947
吴川市黄坡镇,15327,137232.0,41950.0,483.0,4972.0,120.0,14.0,吴川市黄坡镇,POINT (110.5900153618005 21.35116292498181),110.59001536180047,21.35116292498181
